V1;V2;V3;V4;V5;V6;V7;V8;V9;V10;V11;V12;V13;V14
0,5069552759598086;0,061269646361114566;-0,00429682167110832;0,13004926009697876;0,036768457265126488;-0,25365230718060994;-0,10747383117413373;0,08839870553018742;0,0846870934467340;0,06036287310315579;0,024210486325489500;0,15712548730660064;0,16021099963159849;-0,16272485951776022
0,4806295941294025;0,042904189473279411;0,02833464772877347;0,09320725651997186;0,010613768823857509;-0,28383844987388651;-0,01331424141689918;-0,02670266532929218;0,1088289814906156;-0,27955502331865723;0,182765385221757504;-0,10013430524449554;-0,08606642622396131;-0,16370177031193756
0,4787813392163173;0,124778541964293568;-0,02188364963897817;0,14425224578331980;-0,058916893860507011;-0,28766371933042972;-0,11141077215087622;-0,03394822722409957;-0,1315456615464246;-0,11990735669907704;0,211986258991400167;0,04630388701533480;-0,00153076519153492;0,00152351190898796
0,2701792418543167;0,300401098973174574;-0,34833035994568468;0,13015487777985030;-0,101911673308026599;0,12965098590468055;-0,06829969196464304;0,02705972912651448;-0,0731785341996070;0,03212674783136408;-0,118851708080314117;0,02237426545603086;-0,13375286803470501;0,17946164797624897
-0,2057817663224183;0,181449641253350835;0,22648038314071686;0,11138364366304872;0,210666910594577622;-0,03252508805353862;-0,30383373605461561;-0,25180456933989376;-0,3401997432227871;-0,17855134820047239;0,123450037470201390;-0,20011744079642602;-0,07570602783158768;-0,23091375879890552
0,4838408484368126;0,173403839022230305;-0,07327286821694501;0,20819109873868347;-0,056743373002893741;-0,27461068735536298;-0,07883183960939202;0,13774417004053854;-0,1696731146238080;0,10563430011880810;0,014336555061315027;-0,04146974863501580;0,01489723851720580;-0,03793529326393762
0,4979402532510769;0,036339537510697233;0,00935012901085544;0,07728196778828179;0,144701385034786356;-0,11848616947361024;0,07789153929102552;0,06009747206438836;0,0812809155631974;-0,28395537378267688;0,167376480449627663;-0,02037148674667344;0,03793085482007941;-0,09263522603491264
0,3814816255675494;0,128289167721532260;-0,03470064562210101;0,17589289475725706;-0,028977309726770636;-0,36763624811044643;-0,02129452096513317;0,17218779191976891;-0,0551943687672181;-0,00661637609348464;-0,193949085217979433;0,12186722714501713;0,11651046559565228;-0,27818754032486154
0,3254344249163073;0,199072621744270373;-0,12521778103942624;0,32819615996029294;-0,108099097367764754;-0,16831510525562013;0,06200249609960733;0,20310755873526123;-0,1659888372687714;0,10339047415281052;-0,118176164625545990;-0,08013352229408019;0,17690895689363104;-0,00365420834345823
0,2735502156465980;0,226275422375226909;-0,02113100674067641;0,27005391922754235;-0,091819634331042621;-0,27050204108271175;0,03959297177592677;0,02079454005169661;0,0217299065485254;0,14795866153165416;-0,010200566004382315;-0,40893444304865517;0,09600984000609540;-0,11805899685590258
0,3350537880046007;0,298311297041624957;-0,15712244646239465;0,22796345694589121;-0,362109253887779314;0,02347336657161723;-0,08841133234830581;0,06129815179026423;0,0165937280364370;-0,03206947205640432;-0,064553835588809602;-0,04882066665664646;-0,11497324034044293;0,13280112569829339
0,0088178498600165;0,399290276639165609;-0,27019129810814546;0,11181872503586061;-0,214549163715765878;0,31167417886044285;-0,05299892273107447;0,10098300241740599;-0,0254293248268270;-0,06191588441452859;0,069406938287646366;0,07811523020370559;-0,14330672499660607;0,02097622687167842
0,3063870722439676;0,328293971873258039;-0,13687872087522851;0,17248429732307194;-0,255349945697940672;-0,10014803604759338;-0,08367139553184870;-0,03814957614509926;-0,1165307385876246;-0,07015981670344226;-0,019546451072066068;-0,00101065178209283;-0,27773131589422639;0,12744874394150973
0,4525741308509310;-0,221699831227677169;0,05962682422501630;-0,15162616164860165;0,143852714566802292;0,22152319996643149;-0,12537500354315517;-0,02193814907136423;-0,0525821568264339;0,08455561678754747;0,210595892629276582;-0,05663680824538600;0,06264912613374017;-0,03251963639533526
0,4747494317554729;-0,253952243403887279;0,04027286238757941;-0,23912256757198422;0,165783280478723705;0,07453832702751656;-0,05278725432527491;-0,00383566283590514;0,1063592773884114;-0,05279803386300939;0,067989728718855419;-0,07221364907451741;-0,02922162032372398;0,00756362578184928
0,4974222481132675;-0,266829280543584457;0,08836927074354252;-0,13874222646425918;0,221531367289553555;0,09166075938375244;0,02293411224955204;0,04359212941998698;0,0206741048879307;0,12974549037383243;-0,016706480335526651;0,03885901431318010;0,06658519297780291;-0,16259850277509064
0,1811982341771013;0,264006476804966861;-0,13125169726990862;0,11113894793042695;-0,419832069090741111;0,12745984290838008;-0,11026613317203866;-0,04856373897141646;0,1056497398213089;-0,15566667152091451;-0,005137953559171786;0,14812325560797829;-0,28231911833968842;0,14728466418820463
0,5108427685837805;-0,219922646976902475;0,09249841024389978;-0,14813064476085416;0,225679873916871165;0,09280643992051117;-0,05829016695177654;-0,08086054402258154;-0,0699539365861606;-0,04408643050367161;-0,057493520553815444;-0,02123252137996599;-0,05492977453951499;0,14664074691989440
0,4794316647122453;-0,219698797322795042;0,13329298034214360;-0,18202987954858102;0,221338205505793695;0,17563544203994993;0,06800376011669028;-0,02495501397431293;-0,0490004719870530;0,04938119210650559;0,034933864898839435;-0,06616083827743381;-0,10918010270235270;0,18564570615626991
