V1;V2;V3;V4;V5;V6;V7;V8;V9;V10
0,050049475;-0,314056116;-0,445535065;-0,070338506;0,072080232;0,028838127;0,062798313;-0,063896716;-0,172481520;-0,085230639
-0,475486034;-0,065726857;0,348307612;-0,059238284;0,345975502;0,301352630;0,104507512;0,005272381;-0,054104764;0,084458579
-0,100500014;0,179158302;0,061243477;0,517008671;0,340665397;0,007278338;-0,144080267;-0,349309153;0,209459678;0,098348586
0,023927014;0,524838183;-0,214210803;0,252866460;-0,436333178;0,213920865;0,060343622;0,082726763;0,167514077;0,076441998
0,401593605;0,306055744;0,106710245;-0,337095561;0,179809255;-0,232549810;-0,210109729;-0,053894373;0,015529834;-0,101566913
-0,101738964;-0,282494416;-0,444547641;-0,042737265;0,184511664;0,006947033;0,066797026;0,124368832;0,129701618;0,188243024
-0,668341312;0,078455870;0,195859936;-0,238617555;0,145154939;-0,064169365;0,080917140;-0,100938812;0,220155277;0,057146858
0,047889241;-0,350939171;-0,429487380;-0,087473908;-0,003344590;0,047387582;0,060102634;-0,002938481;0,196087164;0,005262464
0,319716296;0,359443782;0,061132293;-0,341994740;0,031297176;0,019861740;0,093311146;-0,314523460;0,244549361;0,097623559
-0,078564545;-0,212593985;-0,495477156;-0,045546236;-0,041365178;-0,282758589;0,057189575;0,012719096;0,088730714;0,015513722
0,321972689;-0,128445886;0,212573008;-0,062653596;0,255218392;-0,155379220;0,101285401;0,107387358;0,070105955;0,301292784
0,294107682;-0,224327035;0,037666531;0,067284352;-0,165205861;0,022476096;-0,018439152;-0,382464866;0,052839858;0,182261748
0,122606470;-0,382711168;-0,247230570;0,026375223;-0,082844964;0,233542454;-0,037952549;-0,077442360;-0,055449440;-0,130512827
-0,500550431;0,035838740;0,124207922;-0,097755187;-0,190495526;-0,249298522;-0,014048975;0,358304550;0,058934670;-0,162373559
0,097463781;-0,365510277;-0,312979579;0,059573166;-0,079960065;-0,057705103;-0,079753788;-0,173469060;0,130496777;0,065505666
-0,091161111;0,396957584;-0,021582160;0,252081180;-0,214679561;0,546578392;-0,163509091;0,266438139;0,079367859;0,089744041
0,251936447;0,576376804;-0,179877874;-0,100940836;-0,277990581;0,208200898;0,018195651;-0,021561524;0,090833466;0,158308370
0,096452880;-0,416282332;-0,326574838;-0,000216229;-0,017633212;-0,016318645;0,078733822;0,022196493;0,021896130;0,217592750
-0,395217494;0,258990102;-0,080336512;-0,007767947;-0,345147276;-0,353296409;0,195472774;-0,126879383;-0,125903020;0,165798224
-0,086838435;-0,307992297;-0,430579716;-0,097238839;0,062241387;0,077354039;0,225441240;0,032342557;0,126576550;-0,077365698
-0,603847018;0,096870513;0,283476080;-0,273428668;0,009692570;0,220912529;-0,087253239;-0,155577910;0,180933265;-0,158141255
-0,377515160;-0,069176805;0,386057929;-0,129178859;0,289559796;0,172533953;0,169748590;0,176470088;-0,010239683;0,241882058
0,094817357;-0,457289611;-0,208327956;-0,130453244;0,032659929;0,101344186;-0,116273016;0,038481024;-0,009429343;-0,090144788
-0,540626734;0,098568369;-0,010998262;-0,130381708;-0,332918360;-0,243963813;0,215699072;0,047387799;0,090183994;0,054587953
-0,060629650;0,287155552;-0,188630830;0,284854274;0,193966528;-0,390625040;-0,116669524;0,004393534;-0,278196039;0,150605399
-0,100066201;-0,282599615;-0,511698931;-0,097437436;0,168893862;-0,057923500;0,153017317;0,151832765;-0,067373675;-0,017373452
0,308804253;-0,307732859;0,173860558;-0,131944274;-0,180848354;0,145981301;-0,258248811;-0,241392095;-0,079238543;-0,065592818
-0,193546565;0,081108110;-0,029089609;-0,014910095;-0,389400036;-0,300328437;0,201565984;0,061964515;-0,348691957;-0,214793583
0,282132554;0,286978814;0,090535323;-0,287408164;0,276326744;-0,206807436;0,036650019;0,061579663;0,303875295;-0,214992069
0,468312901;0,208640460;0,069469915;-0,260546539;0,031776655;-0,160002928;-0,176040890;0,083930801;0,058986592;0,184149532
0,328787640;-0,283274139;0,153837872;0,035105360;-0,097341121;0,009998540;-0,090388126;-0,086295797;-0,296167413;-0,058557446
0,209282798;-0,293543737;0,366572176;0,202313094;0,083271428;0,141580239;0,077906417;0,005548024;0,152985619;0,092304431
0,077111206;0,252102106;0,018781299;0,428228059;0,246818588;-0,126380221;-0,317320920;0,136936798;0,145351506;-0,222905981
0,294400221;-0,141132795;-0,098508014;0,072889187;-0,000477330;0,091955663;0,104334114;-0,346827343;0,034899516;-0,293306511
0,114153681;-0,321274663;0,446548571;0,171478658;-0,132201587;0,010555621;0,155147178;0,040414430;0,088095595;-0,133416215
0,171990342;-0,012702545;-0,080831819;0,122509778;0,013028631;-0,138366286;-0,216272357;-0,273426015;0,334670647;-0,395008236
0,082592476;0,236385913;-0,005761359;0,316198313;0,141735806;0,041999287;-0,341773683;0,224960844;0,246138045;0,279258079
-0,564018055;0,094118098;0,263370905;-0,230318635;0,147383062;-0,102749380;0,260791097;0,023416055;0,170510530;-0,303823077
0,125646324;-0,244329869;0,337322392;0,200597570;-0,089649275;0,110142407;0,174947252;0,323836102;-0,274980923;-0,109617803
0,301271337;-0,174123711;0,131225861;-0,014955335;-0,220332796;-0,242341983;-0,242360932;0,075352470;-0,144615867;-0,271703786
0,239897700;-0,168482614;0,249137637;0,262708203;0,084318322;0,016531021;0,184654384;-0,061021428;0,029762753;0,382628173
0,093021505;-0,400889333;0,296679888;0,050963233;-0,203333689;0,040001788;-0,221985505;-0,055499103;-0,095258551;0,092716886
0,086498679;-0,324643161;0,367240529;-0,030397242;-0,318313867;0,088008972;-0,126174835;-0,148497487;0,055543193;-0,084513554
0,157760818;-0,164719320;0,380246730;-0,020299038;-0,035059614;0,219520786;-0,146856455;0,375188936;-0,080281580;-0,179502882
0,342262074;-0,068966605;0,290758259;0,138757119;-0,002466784;-0,021769068;0,120297898;0,024921149;-0,342091532;0,281995194
0,112767271;-0,427001756;-0,014698476;-0,029787733;-0,207173031;0,034098201;0,002764296;-0,180399514;-0,139937835;-0,069707784
0,047828366;-0,291740155;0,426280664;0,103488314;-0,134058290;0,008684213;-0,118741763;-0,130222364;-0,280526571;-0,048791445
0,014691880;-0,255653777;0,512520110;0,140203817;-0,138365592;-0,042258425;-0,086797549;-0,038705060;0,273565817;0,065609450
-0,228868757;-0,298902688;0,060226521;0,006224348;-0,294039193;-0,192254238;-0,362111856;0,243953953;0,029047445;0,041344590
0,148472345;-0,100123737;0,180210432;0,273275154;-0,073725168;-0,384328034;0,158685272;0,294545838;0,077237457;0,085203960
0,068857058;-0,323000579;0,448359277;0,228284692;0,161832077;-0,158473600;0,123324858;-0,020081802;0,047991834;-0,104384125
