ID_item,item,training,crit,ID,est,domain
6,Russia,0,73.3,j76opfa4wjzj,76,Countries
6,Russia,0,73.3,efuhrzbhjnwg,61,Countries
6,Russia,0,73.3,nkfzm8e0mtcu,56,Countries
6,Russia,0,73.3,6pjob01zppal,87,Countries
6,Russia,0,73.3,19x6o075e4oy,70,Countries
6,Russia,0,73.3,ovd5s5i79kru,78.8,Countries
6,Russia,0,73.3,a1yt5ymbgc4m,94,Countries
6,Russia,0,73.3,1nziths5mtj0,84,Countries
6,Russia,0,73.3,oi136bu0srj9,74,Countries
6,Russia,0,73.3,i6xr02yzsoee,82,Countries
6,Russia,0,73.3,8pxa6oh4ylfk,80.5,Countries
6,Russia,0,73.3,5p4nqbumcod1,71,Countries
6,Russia,0,73.3,nxibx285n3rn,78,Countries
6,Russia,0,73.3,kesc2p7oa7me,80,Countries
6,Russia,0,73.3,okeobbnlodto,73,Countries
6,Russia,0,73.3,sbydcgc89frj,83,Countries
6,Russia,0,73.3,vzgw3yufjpr4,80,Countries
7,Mexico,0,75.3,n11xewpgbxj4,60,Countries
7,Mexico,0,75.3,munr1sh9ezc8,78,Countries
7,Mexico,0,75.3,7k1k3a6issm1,70,Countries
7,Mexico,0,75.3,4n5e6nkj21xl,70,Countries
7,Mexico,0,75.3,k5d1wxxqlmni,70,Countries
7,Mexico,0,75.3,xwvj2v8391m1,72,Countries
7,Mexico,0,75.3,x7t9moqpn7du,78,Countries
7,Mexico,0,75.3,cu4jzug5dshc,77,Countries
7,Mexico,0,75.3,p1zg6qqoufvv,68,Countries
7,Mexico,0,75.3,wlfzyxtuin3l,75,Countries
7,Mexico,0,75.3,hpajcjzog48v,70,Countries
7,Mexico,0,75.3,dlan9mr2iku8,74,Countries
7,Mexico,0,75.3,8xw3ufhwbsme,69,Countries
7,Mexico,0,75.3,7bagakupy07m,81,Countries
7,Mexico,0,75.3,jlx0jreulovy,80,Countries
7,Mexico,0,75.3,kp76hw01z3b2,77,Countries
7,Mexico,0,75.3,f52y9ezjwc9h,75,Countries
7,Mexico,0,75.3,ev2fnz9nxtx2,78.9,Countries
7,Mexico,0,75.3,nfd8u3q7kdlu,80,Countries
7,Mexico,0,75.3,mq9p1a54t26w,65,Countries
7,Mexico,0,75.3,svdxe9n1f3ku,76.3,Countries
7,Mexico,0,75.3,6p84ypzofiiy,75.1,Countries
7,Mexico,0,75.3,15er40f6hrc7,78,Countries
7,Mexico,0,75.3,1jyepxdsepby,73,Countries
7,Mexico,0,75.3,un90iavtgolm,70.8,Countries
7,Mexico,0,75.3,8xds32cqrhlg,79,Countries
7,Mexico,0,75.3,830wmzipl92b,75,Countries
7,Mexico,0,75.3,ap09bdriiaxs,68,Countries
7,Mexico,0,75.3,f7wkplh1kr5z,75.4,Countries
7,Mexico,0,75.3,rj8dmpyn2563,75,Countries
7,Mexico,0,75.3,1r4upum7lxhi,74,Countries
7,Mexico,0,75.3,j76opfa4wjzj,69,Countries
7,Mexico,0,75.3,efuhrzbhjnwg,78,Countries
